,sna,tot,sbi,sarea,mday,ar,bemp,act
1060,YouBike2.0_忠孝東路六段212巷口,15,3,南港區,2023-05-27 15:10:22,忠孝東路六段226號前,11,1
1061,YouBike2.0_新富公園,13,2,南港區,2023-05-27 15:10:22,富康街47巷2號對側,11,1
1065,YouBike2.0_基隆路二段159巷口,14,0,信義區,2023-05-27 14:45:04,基隆路二段155號,11,1
1066,YouBike2.0_嘉興街175巷口,16,5,信義區,2023-05-27 15:09:15,基隆路二段131-4號(前),10,1
1067,YouBike2.0_和平東路三段631巷口,15,5,信義區,2023-05-27 15:06:16,和平東路三段633號前,10,1
1071,YouBike2.0_三興公園,31,0,信義區,2023-05-27 15:16:04,吳興街118巷35弄28號前方(三興公園),31,1
1072,YouBike2.0_松德站,48,1,信義區,2023-05-27 15:12:15,松德路300號南側,47,1
1080,YouBike2.0_台北市災害應變中心,45,2,信義區,2023-05-27 15:18:15,莊敬路391巷11弄2號(東北側),42,1
1083,YouBike2.0_景新公園,17,1,信義區,2023-05-27 15:15:15,莊敬路239巷12號(對面),16,1
1084,YouBike2.0_光復信義路口東南側,16,0,信義區,2023-05-27 15:09:04,光復南路485號前方,15,1
1085,YouBike2.0_三張犁,40,1,信義區,2023-05-27 15:19:04,光復南路455號前方,35,1
1086,YouBike2.0_仁愛路四段496巷口,34,0,信義區,2023-05-27 15:18:15,仁愛路四段與仁愛路四段496巷口西南側,33,1
1088,YouBike2.0_松友公園,27,0,信義區,2023-05-27 15:12:04,信義路六段76巷2弄22號(對面),26,1
1090,YouBike2.0_松山家商,25,1,信義區,2023-05-27 15:09:04,松山路655號(前),24,1
1092,YouBike2.0_臺北市政府,63,5,信義區,2023-05-27 15:17:32,台北市政府東門(松智路),58,1
1096,YouBike2.0_市民廣場,30,3,信義區,2023-05-27 15:06:16,市府路/松壽路(西北側),27,1
1099,YouBike2.0_春光公園,30,2,信義區,2023-05-27 15:15:15,林口街230號(斜對面),27,1
1102,YouBike2.0_福德公園,35,4,信義區,2023-05-27 15:17:32,大道路與大道路145巷口,29,1
1107,YouBike2.0_泰和公園,34,3,信義區,2023-05-27 15:16:16,吳興街600巷81號西側,30,1
1108,YouBike2.0_興雅國小(基隆路一段37巷),15,2,信義區,2023-05-27 15:08:14,基隆路一段83巷9號西側,11,1
1111,YouBike2.0_五常公園,19,1,信義區,2023-05-27 15:03:04,松隆路161號對側,16,1
1112,YouBike2.0_永吉松信路口,25,5,信義區,2023-05-27 15:18:15,松信路/永吉路西南側人行道,20,1
1113,YouBike2.0_三興國小,22,4,信義區,2023-05-27 15:17:32,基隆路二段99-1號(前),18,1
1114,YouBike2.0_市民松信路口,20,1,信義區,2023-05-27 15:08:04,市民大道六段/松信路口(西側),17,1
1116,YouBike2.0_基隆光復路口,17,0,信義區,2023-05-27 15:19:04,基隆路二段/光復南路(東北側),17,1
1117,YouBike2.0_基隆忠孝路口西南側,14,3,信義區,2023-05-27 15:18:15,忠孝東路四段550號,9,1
1118,YouBike2.0_泰和里民活動中心,18,3,信義區,2023-05-27 14:46:16,松仁路308巷60號,14,1
1120,YouBike2.0_虎林永吉路口,15,3,信義區,2023-05-27 15:17:32,永吉路356號東側,11,1
1122,YouBike2.0_永吉路321巷口,15,2,信義區,2023-05-27 15:17:32,永吉路323號西側,13,1
1123,YouBike2.0_松山永吉路口,20,1,信義區,2023-05-27 14:50:22,松山路166號,19,1
1128,YouBike2.0_松德虎林街口,25,1,信義區,2023-05-27 15:17:32,松德路79號前,22,1
1131,YouBike2.0_捷運永春站(2號出口),28,2,信義區,2023-05-27 15:19:14,虎林街132巷44號西側,26,1
1132,YouBike2.0_吳興街260巷,32,1,信義區,2023-05-27 15:04:19,吳興街260巷/吳興街260巷21弄口(東南側),31,1
1135,YouBike2.0_安強公園,20,5,信義區,2023-05-27 15:18:15,虎林街222巷55號,14,1
1136,YouBike2.0_信義基隆路口,20,0,信義區,2023-05-27 15:03:04,信義路四段393號前,19,1
1138,YouBike2.0_吳興街284巷36弄口,25,2,信義區,2023-05-27 15:05:16,吳興街284巷36弄24號西側,21,1
1139,YouBike2.0_協和祐德高級中學,20,5,信義區,2023-05-27 14:53:16,中坡南路51號對側,15,1
1140,YouBike2.0_福德國小公車站,10,0,信義區,2023-05-27 15:07:04,福德街308號對側,10,1
1144,YouBike2.0_景平公園,13,3,信義區,2023-05-27 15:09:15,松平路50巷15號對側,10,1
1146,YouBike2.0_五分埔公園,18,2,信義區,2023-05-27 15:07:15,中坡北路57號旁,16,1
1147,YouBike2.0_松仁路305號,14,0,信義區,2023-05-27 14:50:11,松仁路/吳興街583巷3弄,14,1
1148,YouBike2.0_吳興街394巷口,12,2,信義區,2023-05-27 14:49:14,吳興街394巷/吳興街,10,1
1151,YouBike2.0_松仁松平路口,10,2,信義區,2023-05-27 15:15:15,松仁路/松平路,8,1
1152,YouBike2.0_信義松德路口,18,1,信義區,2023-05-27 15:19:04,信義路五段180號前,17,1
